iso3166_2,country,province_state,pop_province_state,year
AU-ACT,Australia,Australian Capital Territory,"426,709",2019
AU-NSW,Australia,New South Wales,"8,089,526",2019
AU-NT,Australia,Northern Territory,"245,869",2019
AU-QLD,Australia,Queensland,"5,095,100",2019
AU-SA,Australia,South Australia,"1,751,693",2019
AU-TAS,Australia,Tasmania,"534,281",2019
AU-VIC,Australia,Victoria,"6,594,804",2019
AU-WA,Australia,Western Australia,"2,621,680",2019
CA-AB,Canada,Alberta,"4,345,737",2019
CA-BC,Canada,British Columbia,"5,020,302",2019
CA-MB,Canada,Manitoba,"1,360,396",2019
CA-NB,Canada,New Brunswick,"772,094",2019
CA-NL,Canada,Newfoundland and Labrador,"523,790",2019
CA-NS,Canada,Nova Scotia,"965,382",2019
CA-OS,Canada,Ontario,"14,446,515",2019
CA-PE,Canada,Prince Edward Island,"154,748",2019
CA-QC,Canada,Quebec,"8,433,301",2019
CA-SK,Canada,Saskatchewan,"1,168,423",2019
CA-NT,Canada,Northwest Territories,"44,598",2019
CA-YT,Canada,Yukon,"40,369",2019
CN-AH,China,Anhui,"59,500,510",2010
CN-BJ,China,Beijing,"19,612,368",2010
CN-CQ,China,Chongqing,"28,846,170",2010
CN-FJ,China,Fujian,"36,894,216",2010
CN-GS,China,Gansu,"25,575,254",2010
CN-GD,China,Guangdong,"104,303,132",2010
CN-GX,China,Guangxi,"46,026,629",2010
CN-GZ,China,Guizhou,"34,746,468",2010
CN-HI,China,Hainan,"94,023,567",2010
CN-HE,China,Hebei,"71,854,202",2010
CN-HL,China,Heilongjiang,"38,312,224",2010
CN-HA,China,Henan,"94,023,567",2010
CN-HK,China,Hong Kong,"7,061,200",2010
CN-HB,China,Hubei,"57,237,740",2010
CN-HN,China,Hunan,"65,683,722",2010
CN-NM,China,Inner Mongolia,"24,706,321",2010
CN-JS,China,Jiangsu,"78,659,903",2010
CN-JX,China,Jiangxi,"44,567,475",2010
CN-JL,China,Jilin,"27,462,297",2010
CN-LN,China,Liaoning,"43,746,323",2010
CN-MO,China,Macau,"552,300",2010
CN-NX,China,Ningxia,"6,301,350",2010
CN-QH,China,Qinghai,"5,626,722",2010
CN-SN,China,Shaanxi,"37,327,378",2010
CN-SD,China,Shandong,"95,793,065",2010
CN-SH,China,Shanghai,"23,019,148",2010
CN-SX,China,Shanxi,"35,712,111",2010
CN-SC,China,Sichuan,"80,418,200",2010
CN-TJ,China,Tianjin,"12,938,224",2010
CN-XZ,China,Tibet,"3,002,166",2010
CN-XJ,China,Xinjiang,"21,813,334",2010
CN-YN,China,Yunnan,"45,966,239",2010
CN-ZJ,China,Zhejiang,"54,426,891",2010
