iso3166_2,country,province_state,pop_province_state,year
US-AL,US,Alabama,4903185,2019
US-AK,US,Alaska,731545,2019
US-AZ,US,Arizona,7278717,2019
US-AR,US,Arkansas,3017825,2019
US-CA,US,California,39512223,2019
US-CO,US,Colorado,5758736,2019
US-CT,US,Connecticut,3565287,2019
US-DE,US,Delaware,973764,2019
US-DC,US,District of Columbia,705749,2019
US-FL,US,Florida,21477737,2019
US-GA,US,Georgia,10617423,2019
US-GU,US,Guam,165718,2019
US-HI,US,Hawaii,1415872,2019
US-ID,US,Idaho,1787147,2019
US-IL,US,Illinois,12671821,2019
US-IN,US,Indiana,6732219,2019
US-IA,US,Iowa,3155070,2019
US-KS,US,Kansas,2913314,2019
US-KY,US,Kentucky,4467673,2019
US-LA,US,Louisiana,4648794,2019
US-ME,US,Maine,1344212,2019
US-MD,US,Maryland,6045680,2019
US-MA,US,Massachusetts,6949503,2019
US-MI,US,Michigan,9986857,2019
US-MN,US,Minnesota,5639632,2019
US-MS,US,Mississippi,2976149,2019
US-MO,US,Missouri,6137428,2019
US-MT,US,Montana,1068778,2019
US-NE,US,Nebraska,1934408,2019
US-NV,US,Nevada,3080156,2019
US-NH,US,New Hampshire,1359711,2019
US-NJ,US,New Jersey,8882190,2019
US-NM,US,New Mexico,2096829,2019
US-NY,US,New York,19453561,2019
US-NC,US,North Carolina,10488084,2019
US-ND,US,North Dakota,762062,2019
US-OH,US,Ohio,11689100,2019
US-OK,US,Oklahoma,3956971,2019
US-OR,US,Oregon,4217737,2019
US-PA,US,Pennsylvania,12801989,2019
US-PR,US,Puerto Rico,3193694,2019
US-RI,US,Rhode Island,1059361,2019
US-SC,US,South Carolina,5148714,2019
US-SD,US,South Dakota,884659,2019
US-TN,US,Tennessee,6833174,2019
US-TX,US,Texas,28995881,2019
US-UT,US,Utah,3205958,2019
US-VT,US,Vermont,623989,2019
US-VI,US,Virgin Islands,104914,2019
US-VA,US,Virginia,8535519,2019
US-WA,US,Washington,7614893,2019
US-WV,US,West Virginia,1792065,2019
US-WI,US,Wisconsin,5822434,2019
US-WY,US,Wyoming,578759,2019
